LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price,Product Link
C155540,EGH1EM221F12OTGOSO,AISHI(Aihua Group),"Plugin,D8xL12mm",,"220uF 25V 8mm 12mm 460mΩ@100kHz 3.5mm ±20% 210mA@100kHz 7000hrs@105℃ Plugin,D8xL12mm  Aluminum Electrolytic Capacitors - Leaded ROHS",yes,10,10,0.0462,0.46,https://assets.lcsc.com/images/lcsc/96x96/20230110_AISHI-Aihua-Group-EGH1EM221F12OTGOSO_C155540_front.jpg
C409821,05B104K500PF3C1N0R,STE(Songtian Elec),"Plugin,P=5.08mm",,"±10% 50V 100nF X7R Plugin,P=5.08mm  Multilayer Ceramic Capacitors MLCC - Leaded ROHS",yes,10,10,0.0390,0.39,https://assets.lcsc.com/images/lcsc/96x96/20230115_STE-Songtian-Elec-05B104K500PF3C1N0R_C409821_front.jpg
C4649,C4649,XSD,-,,-  Heat Sinks ROHS,yes,5,5,0.0835,0.42,https://assets.lcsc.com/images/lcsc/96x96/20221228_XSD-C4649_C4649_front.jpg
C2476,1N5822,MDD（Microdiode Electronics）,DO-201AD,,40V 525mV@3A 3A DO-201AD  Schottky Barrier Diodes (SBD) ROHS,yes,5,5,0.0940,0.47,https://assets.lcsc.com/images/lcsc/96x96/20190621_MDD-Microdiode-Electronics--1N5822_C2476_front.jpg
C127220,MF1/4W-220Ω±1% T,CCO(Chian Chia Elec),Plugin,,Metal Film Resistors 220Ω 250V 250mW ±100ppm/℃ ±1% -55℃~+155℃ Plugin  Through Hole Resistors ROHS,yes,50,50,0.0106,0.53,https://assets.lcsc.com/images/lcsc/96x96/20230102_CCO-Chian-Chia-Elec-MF1-4W-220R-1--T_C127220_front.jpg
C8404,WJ126V-5.0-2P,Ningbo Kangnex Elec,"Plugin,P=5mm",,"18A -40℃~+105℃ 250V Green 14~26 Straight pin 5mm 2.5 1 2 Plugin,P=5mm  Screw terminal ROHS",yes,5,5,0.0739,0.37,https://assets.lcsc.com/images/lcsc/96x96/20200709_Ningbo-Kangnex-Elec-WJ126V-5-0-2P_C8404_front.jpg
C34642,KM477M050G20RR0VH2FP0,CX(Dongguan Chengxing Elec),"Plugin,D10xL20mm",,"470uF 50V 10mm 20mm 5mm ±20% 2000hrs@105℃ Plugin,D10xL20mm  Aluminum Electrolytic Capacitors - Leaded ROHS",yes,5,5,0.0898,0.45,https://assets.lcsc.com/images/lcsc/96x96/20180914_CX-Dongguan-Chengxing-Elec-KM477M050G20RR0VH2FP0_C34642_front_10.jpg
C119339,MF1/4W-4.7KΩ±1% T,CCO(Chian Chia Elec),Plugin,,Metal Film Resistors 4.7kΩ 250V 250mW ±100ppm/℃ ±1% -55℃~+155℃ Plugin  Through Hole Resistors ROHS,yes,50,50,0.0109,0.55,https://assets.lcsc.com/images/lcsc/96x96/20230101_CCO-Chian-Chia-Elec-MF1-4W-4-7KR-1--T_C119339_front.jpg
C20648,KBP307,MDD（Microdiode Electronics）,KBP,,80A 1V@3A 10uA@600V 3A 600V -55℃~+150℃@(Tj) KBP  Bridge Rectifiers ROHS,yes,5,5,0.0888,0.44,https://assets.lcsc.com/images/lcsc/96x96/20221229_MDD-Microdiode-Electronics--KBP307_C20648_front.jpg
C119324,MF1/4W-1KΩ±1% T,CCO(Chian Chia Elec),Plugin,,Metal Film Resistors 1kΩ 250V 250mW ±100ppm/℃ ±1% -55℃~+155℃ Plugin  Through Hole Resistors ROHS,yes,50,50,0.0102,0.51,https://assets.lcsc.com/images/lcsc/96x96/20230101_CCO-Chian-Chia-Elec-MF1-4W-1KR-1--T_C119324_front.jpg
